date,value
1961-01-31,26.553
1961-02-28,26.669
1961-03-31,26.553
1961-04-30,26.65
1961-05-31,26.728
1961-06-30,26.728
1961-07-31,26.728
1961-08-31,26.728
1961-09-30,26.728
1961-10-31,26.728
1961-11-30,26.769
1961-12-31,26.694
1962-01-31,26.769
1962-02-28,26.752
1962-03-31,26.694
1962-04-30,26.694
1962-05-31,26.918
1962-06-30,26.918
1962-07-31,26.918
1962-08-31,26.901
1962-09-30,26.901
1962-10-31,26.901
1962-11-30,26.911
1962-12-31,26.911
1963-01-31,26.832
1963-02-28,26.832
1963-03-31,26.832
1963-04-30,26.868
1963-05-31,26.865
1963-06-30,26.865
1963-07-31,26.865
1963-08-31,26.865
1963-09-30,26.882
1963-10-31,26.971
1963-11-30,27.104
1963-12-31,27.104
1964-01-31,27.104
1964-02-29,27.104
1964-03-31,27.162
1964-04-30,27.162
1964-05-31,27.05
1964-06-30,27.05
1964-07-31,27.05
1964-08-31,27.41
1964-09-30,27.723
1964-10-31,27.836
1964-11-30,28.079
1964-12-31,28.079
1965-01-31,28.079
1965-02-28,28.079
1965-03-31,27.954
1965-04-30,27.954
1965-05-31,27.954
1965-06-30,27.92
1965-07-31,27.92
1965-08-31,27.836
1965-09-30,27.748
1965-10-31,27.855
1965-11-30,27.826
1965-12-31,27.766
1966-01-31,27.845
1966-02-28,27.845
1966-03-31,27.809
1966-04-30,27.845
1966-05-31,27.499
1966-06-30,27.463
1966-07-31,27.499
1966-08-31,27.499
1966-09-30,27.499
1966-10-31,27.557
1966-11-30,28.359
1966-12-31,28.253
1967-01-31,28.253
1967-02-28,28.349
1967-03-31,28.313
1967-04-30,28.259
1967-05-31,28.493
1967-06-30,28.493
1967-07-31,28.457
1967-08-31,28.457
1967-09-30,28.529
1967-10-31,28.529
1967-11-30,28.605
1967-12-31,28.605
1968-01-31,28.658
1968-02-29,28.658
1968-03-31,28.605
1968-04-30,28.605
1968-05-31,28.775
1968-06-30,28.775
1968-07-31,28.758
1968-08-31,28.893
1968-09-30,28.893
1968-10-31,29.071
1968-11-30,29.054
1968-12-31,28.721
1969-01-31,29.103
1969-02-28,29.22
1969-03-31,29.22
1969-04-30,29.22
1969-05-31,29.464
1969-06-30,29.534
1969-07-31,29.534
1969-08-31,29.587
1969-09-30,29.587
1969-10-31,29.587
1969-11-30,29.563
1969-12-31,29.563
1970-01-31,28.83
1970-02-28,28.83
1970-03-31,29.383
1970-04-30,29.876
1970-05-31,29.857
1970-06-30,29.857
1970-07-31,29.857
1970-08-31,29.857
1970-09-30,29.857
1970-10-31,29.857
1970-11-30,29.857
1970-12-31,29.857
1971-01-31,29.876
1971-02-28,29.876
1971-03-31,30.112
1971-04-30,30.112
1971-05-31,30.503
1971-06-30,30.365
1971-07-31,30.471
1971-08-31,30.336
1971-09-30,30.513
1971-10-31,30.537
1971-11-30,30.418
1971-12-31,30.628
1972-01-31,30.628
1972-02-29,30.628
1972-03-31,30.682
1972-04-30,30.682
1972-05-31,30.823
1972-06-30,30.823
1972-07-31,30.823
1972-08-31,30.823
1972-09-30,30.823
1972-10-31,30.857
1972-11-30,30.949
1972-12-31,30.949
1973-01-31,30.949
1973-02-28,31.538
1973-03-31,31.538
1973-04-30,31.553
1973-05-31,31.965
1973-06-30,31.976
1973-07-31,31.976
1973-08-31,31.976
1973-09-30,31.97
1973-10-31,31.992
1973-11-30,32.406
1973-12-31,32.412
1974-01-31,35.133
1974-02-28,35.068
1974-03-31,35.517
1974-04-30,35.557
1974-05-31,35.792
1974-06-30,35.758
1974-07-31,37.153
1974-08-31,37.138
1974-09-30,37.146
1974-10-31,37.159
1974-11-30,37.46
1974-12-31,37.452
1975-01-31,37.451
1975-02-28,37.449
1975-03-31,37.427
1975-04-30,37.463
1975-05-31,38.002
1975-06-30,38.006
1975-07-31,38.891
1975-08-31,38.891
1975-09-30,40.667
1975-10-31,40.722
1975-11-30,41.053
1975-12-31,41.057
1976-01-31,41.103
1976-02-29,41.14
1976-03-31,41.603
1976-04-30,41.6
1976-05-31,41.603
1976-06-30,41.605
1976-07-31,41.614
