date,value
1961-01-31,18.841
1961-02-28,18.845
1961-03-31,18.837
1961-04-30,18.837
1961-05-31,18.822
1961-06-30,18.822
1961-07-31,18.822
1961-08-31,18.822
1961-09-30,18.837
1961-10-31,18.837
1961-11-30,18.837
1961-12-31,18.837
1962-01-31,18.837
1962-02-28,18.837
1962-03-31,18.837
1962-04-30,18.822
1962-05-31,18.822
1962-06-30,18.822
1962-07-31,18.823
1962-08-31,18.823
1962-09-30,18.822
1962-10-31,18.822
1962-11-30,18.822
1962-12-31,18.822
1963-01-31,18.822
1963-02-28,18.822
1963-03-31,18.822
1963-04-30,18.822
1963-05-31,18.822
1963-06-30,18.822
1963-07-31,18.822
1963-08-31,18.823
1963-09-30,18.825
1963-10-31,18.826
1963-11-30,18.826
1963-12-31,18.826
1964-01-31,18.643
1964-02-29,18.555
1964-03-31,18.555
1964-04-30,18.555
1964-05-31,18.553
1964-06-30,18.553
1964-07-31,18.556
1964-08-31,18.556
1964-09-30,18.556
1964-10-31,18.556
1964-11-30,18.556
1964-12-31,18.841
1965-01-31,18.838
1965-02-28,18.852
1965-03-31,18.854
1965-04-30,18.852
1965-05-31,18.848
1965-06-30,18.848
1965-07-31,18.858
1965-08-31,18.865
1965-09-30,18.866
1965-10-31,18.987
1965-11-30,19.098
1965-12-31,19.158
1966-01-31,19.238
1966-02-28,19.196
1966-03-31,19.196
1966-04-30,19.184
1966-05-31,19.173
1966-06-30,19.181
1966-07-31,19.185
1966-08-31,19.191
1966-09-30,19.201
1966-10-31,19.223
1966-11-30,19.24
1966-12-31,19.24
1967-01-31,19.311
1967-02-28,19.253
1967-03-31,19.242
1967-04-30,19.25
1967-05-31,19.26
1967-06-30,19.26
1967-07-31,19.305
1967-08-31,19.315
1967-09-30,19.319
1967-10-31,19.315
1967-11-30,19.325
1967-12-31,19.325
1968-01-31,19.334
1968-02-29,19.354
1968-03-31,19.411
1968-04-30,19.411
1968-05-31,20.251
1968-06-30,20.251
1968-07-31,20.299
1968-08-31,20.299
1968-09-30,20.3
1968-10-31,20.331
1968-11-30,20.331
1968-12-31,20.339
1969-01-31,20.367
1969-02-28,20.371
1969-03-31,20.742
1969-04-30,20.742
1969-05-31,20.776
1969-06-30,20.746
1969-07-31,20.756
1969-08-31,20.759
1969-09-30,20.762
1969-10-31,20.756
1969-11-30,20.707
1969-12-31,20.707
1970-01-31,20.763
1970-02-28,21.526
1970-03-31,21.526
1970-04-30,21.526
1970-05-31,21.533
1970-06-30,21.536
1970-07-31,21.536
1970-08-31,21.536
1970-09-30,21.536
1970-10-31,21.536
1970-11-30,21.544
1970-12-31,21.536
1971-01-31,21.535
1971-02-28,21.535
